Unnamed: 0,ulasan,label,pred_string,confidence,pred_numeric,sentiment_category
2925,Aplikasi nya sekarang jelek... Masak gak bisa pilih kurir.. Wah s7sah mau beli,0,NEGATIVE,1.0,0.0,Top Negative
2926,"Mau ganti Alamat Pembeli kok payah sih, sinyal ny udah kenceng saya pakai wifi, hapus cache udah log out masuk udah masih aja sama solusi dong untuk kami yang mau dropship. Mana respon gak mendukung banget🤬",0,NEGATIVE,1.0,0.0,Top Negative
2928,Emang tempat ini bagus untuk menjual atau membeli tapi saya kesal banget ke yg menjual nya saya cuma tanya kapan dikrim tapi menjual nya tidak di bales terus yang menjual nya tolak pesanan saya gimana ngak kesal coba saya . Saya cuma tanya langsung di tolak kesel banget pokonya 😤😤😠😠😡😡🤬🤬 jadi males untuk membeli barang lagi disini,0,NEGATIVE,1.0,0.0,Top Negative
2931,Aplikasi nya smakin lama semakin hancur masanya saya pengguna baru mau pake voucher nya tidak bisa katanya (D07). Buat pening aja. Seharusnya layani pembeli dengan setulus hati kalo gak mau ngasih voucher ywd gak usah di buat ni apk taekkk,0,NEGATIVE,1.0,0.0,Top Negative
2528,"Sangat kecewa Shopee pengamanan nya lemah masih pintar si pencuri hacker... gara2 sebagai pengguna shopee saya kemalingan, dana shopee pay saya Rp448000 ludes di gondol maling...minta pertanggung jawaban tak di kubris kapok saya dan gak nyaman lagi sbg pengguna shopee auto tutup akun aja.",0,NEGATIVE,1.0,0.0,Top Negative
187,"Semoga semakin didepan dan tidak seperti toko sebelah , orang pesen apa Dateng nya apa . Pokoknya gak sesuai kita inginkan",1,NEGATIVE,1.0,0.0,Top Negative
212,Aplikasi buruk banget😭!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Tapi bohong wkwkwkwkwk,1,NEGATIVE,1.0,0.0,Top Negative
2540,"Hanya membuat kecewa ,, aktikan splayleter saja ,, harus berulang-ulang kali melakukan suvei ,, ujung-ujungnya sudah dapat limit di kunci ... gak usah menawarkan kalau PHP",0,NEGATIVE,1.0,0.0,Top Negative
2543,Saya kecewa sama apk ini karena saya tidak bisa mendaftar. Dan kenapa apk nya sangat lola,0,NEGATIVE,1.0,0.0,Top Negative
2553,Shopee makin lama makin aneh dulu pengguna baru bisa pakai voucher gratis ongkir selama sebulan tapi sekarang cuman satu kali doang😒😒😒,0,NEGATIVE,1.0,0.0,Top Negative
